country,state,city,utc,parameter,value,unit,latitude,longitude,attribution
US,New Jersey,Trenton,2018-10-02T09:00:00Z,pm25,10.5,µg/m,40.283092,-74.742645,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""New Jersey Dept. of Environmental Protection""}]"
US,New Jersey,Trenton,2019-10-02T22:00:00Z,pm25,15.8,µg/m,40.283092,-74.742645,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""New Jersey Dept. of Environmental Protection""}]"
US,New Jersey,Trenton,2020-10-02T04:00:00Z,pm25,7.6,µg/m,40.283092,-74.742645,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""New Jersey Dept. of Environmental Protection""}]"
US,New Mexico,Santa Fe,2018-10-02T08:00:00Z,pm25,2,µg/m,35.6198,-106.0797,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""New Mexico Air Quality Bureau""}]"
US,New Mexico,Santa Fe,2019-10-03T04:00:00Z,pm25,3,µg/m,35.6198,-106.0797,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""New Mexico Air Quality Bureau""}]"
US,New Mexico,Santa Fe,2020-10-02T03:00:00Z,pm25,7,µg/m,35.6198,-106.0797,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""New Mexico Air Quality Bureau""}]"
US,New York,New York,2018-10-20T10:00:00Z,pm25,7.9,µg/m,40.7375,-73.8244,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""New York Dept. of"
US,New York,New York,2019-10-02T18:00:00Z,pm25,13.6,µg/m,40.7375,-73.8244,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""New York Dept. of"
US,New York,New York,2020-10-02T04:00:00Z,pm25,7.2,µg/m,40.7375,-73.8244,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""New York Dept. of"
US,North Carolina,Charlotte,2018-10-03T05:00:00Z,pm25,14,µg/m,35.213171,-80.874084,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Mecklenburg County Air Quality""}]"
US,North Carolina,Charlotte,2019-10-02T18:00:00Z,pm25,14,µg/m,35.213171,-80.874084,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Mecklenburg County Air Quality""}]"
